date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:12	315068/315068	---M--	200	added ('OK')	image/jpeg	etag:W/%224cebc-6BrUSl+/+OF/y6ywR6sLE4Pwng0%22	http://mediaprocessor.websimages.com/fit/1920x1920/www.bloomsanddreams.ca/IMG_0761.JPG	C:/bloomsanddreams/bloomsanddreams/mediaprocessor.websimages.com/fit/1920x1920/www.bloomsanddreams.ca/IMG_0761.jpg	(from http://www.bloomsanddreams.ca/)
19:31:17	334665/334665	---M--	200	added ('OK')	image/jpeg	etag:W/%2251b49-veUDCyA44L3AuSis5C/03XohYpo%22	http://mediaprocessor.websimages.com/fit/1920x1920/www.bloomsanddreams.ca/20150906_234550.jpg	C:/bloomsanddreams/bloomsanddreams/mediaprocessor.websimages.com/fit/1920x1920/www.bloomsanddreams.ca/20150906_234550.jpg	(from http://www.bloomsanddreams.ca/)
19:31:17	39354/39354	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:09%20GMT	http://members.webs.com/s/modules/social-links/v1.21/icons/style04.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/social-links/v1.21/icons/style04.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:17	27816/27816	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:11%20GMT	http://members.webs.com/s/modules/social-links/v1.21/icons/style05.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/social-links/v1.21/icons/style05.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:17	44161/44161	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:08%20GMT	http://members.webs.com/s/modules/social-links/v1.21/icons/style03.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/social-links/v1.21/icons/style03.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:18	22659/22659	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:16%20GMT	http://members.webs.com/s/modules/social-links/v1.21/icons/style06.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/social-links/v1.21/icons/style06.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:19	2155/2155	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:17%20GMT	http://members.webs.com/s/modules/carousel/v1.38/images/placeholder.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/carousel/v1.38/images/placeholder.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:19	2249/2249	---M--	200	added ('OK')	image/png	etag:%228c9-550cfcc624d40%22	http://static.websimages.com/static/projects/finch/images/carousel_back_forward.png	C:/bloomsanddreams/bloomsanddreams/static.websimages.com/static/projects/finch/images/carousel_back_forward.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:19	18190/18190	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:16%20GMT	http://members.webs.com/s/modules/social-links/v1.21/icons/style07.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/social-links/v1.21/icons/style07.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:19	18350/18350	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:17%20GMT	http://members.webs.com/s/modules/social-links/v1.21/icons/style08.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/social-links/v1.21/icons/style08.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:20	1629/1629	---M--	200	added ('OK')	image/png	etag:%2265d-550cfcc624d40%22	http://static.websimages.com/static/projects/finch/images/magnify_icon_white.png	C:/bloomsanddreams/bloomsanddreams/static.websimages.com/static/projects/finch/images/magnify_icon_white.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:20	1659/1659	---M--	200	added ('OK')	image/png	etag:%2267b-550cfcc624d40%22	http://static.websimages.com/static/projects/finch/images/magnify_icon_dark.png	C:/bloomsanddreams/bloomsanddreams/static.websimages.com/static/projects/finch/images/magnify_icon_dark.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:20	1121/1121	---M--	200	added ('OK')	image/png	etag:%22461-550cfcc624d40%22	http://static.websimages.com/static/projects/finch/images/plus_icon_white.png	C:/bloomsanddreams/bloomsanddreams/static.websimages.com/static/projects/finch/images/plus_icon_white.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:21	1123/1123	---M--	200	added ('OK')	image/png	etag:%22463-550cfcc624d40%22	http://static.websimages.com/static/projects/finch/images/plus_icon_dark.png	C:/bloomsanddreams/bloomsanddreams/static.websimages.com/static/projects/finch/images/plus_icon_dark.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:21	1079/1079	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:19%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/right_1x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/right_1x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:21	1082/1082	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:20%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/left_1x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/left_1x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:22	1243/1243	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:20%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/right_2x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/right_2x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:22	1268/1268	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:20%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/left_2x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/left_2x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:22	1065/1065	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:21%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/black_right_1x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/black_right_1x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:23	1073/1073	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:21%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/black_left_1x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/black_left_1x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:23	1161/1161	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:21%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/black_right_2x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/black_right_2x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:23	1172/1172	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:22%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/black_left_2x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/black_left_2x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:24	1077/1077	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:22%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/white_right_1x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/white_right_1x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:24	1091/1091	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:22%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/white_left_1x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/white_left_1x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:31:24	1212/1212	---MC-	200	added ('OK')	image/png	date:Tue,%2014%20Nov%202017%2000:31:23%20GMT	http://members.webs.com/s/modules/photo_gallery/v1.72/images/white_right_2x.png	C:/bloomsanddreams/bloomsanddreams/members.webs.com/s/modules/photo_gallery/v1.72/images/white_right_2x.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
